A,B,C,D,E,F,G,H,I,J,K,L
 Private,153718,10, Never-married, Other-service, Not-in-family, Female,0,0,25, United-States,Yes
 Private,217460,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,No
 Private,238638,9, Married-civ-spouse, Sales, Husband, Male,4386,0,40, United-States,No
 Private,303296,10, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, Laos,Yes
 Private,173321,9, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,193945,12, Never-married, Tech-support, Not-in-family, Male,0,0,45, United-States,Yes
 Private,83082,12, Never-married, Prof-specialty, Not-in-family, Female,0,0,33, United-States,Yes
 Private,193815,12, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,No
 Self-emp-inc,34987,10, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,54, United-States,No
 Private,59306,13, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,Yes
 Private,142897,14, Married-civ-spouse, Exec-managerial, Husband, Male,7298,0,35, Taiwan,No
 ?,860348,10, Never-married, ?, Own-child, Female,0,0,25, United-States,Yes
 Self-emp-not-inc,205607,13, Divorced, Prof-specialty, Not-in-family, Female,0,0,40, United-States,No
 Private,199698,10, Never-married, Sales, Own-child, Male,0,0,15, United-States,Yes
 Private,191954,10, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,138714,10, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States,Yes
 Private,399087,3, Married-civ-spouse, Machine-op-inspct, Other-relative, Female,0,0,40, Mexico,Yes
 Private,423158,10, Never-married, Tech-support, Not-in-family, Female,0,0,40, United-States,Yes
 Private,159841,9, Widowed, Other-service, Not-in-family, Female,0,0,24, United-States,Yes
 Self-emp-not-inc,174308,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,Yes
 Private,50356,10, Married-civ-spouse, Craft-repair, Husband, Male,0,1485,50, United-States,Yes
 Private,186110,9, Divorced, Transport-moving, Not-in-family, Male,0,0,45, United-States,Yes
 Private,200381,7, Never-married, Exec-managerial, Not-in-family, Female,0,0,40, United-States,Yes
 Self-emp-not-inc,174309,14, Married-civ-spouse, Craft-repair, Husband, Male,0,0,10, United-States,Yes
 Self-emp-not-inc,78383,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,45, United-States,Yes
 ?,211601,11, Never-married, ?, Own-child, Female,0,0,15, United-States,Yes
 Private,187728,10, Married-civ-spouse, Prof-specialty, Wife, Female,0,1887,50, United-States,No
 Self-emp-not-inc,321171,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,Yes
 Private,127921,9, Never-married, Transport-moving, Not-in-family, Male,2050,0,55, United-States,Yes
 Private,206565,10, Never-married, Craft-repair, Not-in-family, Male,0,0,45, United-States,Yes
 Private,224563,13, Never-married, Adm-clerical, Not-in-family, Male,0,0,40, United-States,Yes
 Private,178686,11, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States,Yes
 Local-gov,98545,6, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,Yes
 Private,242606,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,270942,3, Never-married, Other-service, Other-relative, Male,0,0,48, Mexico,Yes
 Private,94235,9, Never-married, Craft-repair, Other-relative, Male,0,0,40, United-States,Yes
 Private,71195,14, Never-married, Prof-specialty, Not-in-family, Male,0,0,60, United-States,Yes
 Private,104112,9, Never-married, Sales, Unmarried, Male,0,0,30, Haiti,Yes
 Private,261192,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,Yes
 Private,94936,12, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,Yes
 Private,296478,11, Married-civ-spouse, Craft-repair, Husband, Male,7298,0,40, United-States,No
 State-gov,119272,9, Married-civ-spouse, Protective-serv, Husband, Male,7298,0,40, United-States,No
 Private,85043,9, Never-married, Farming-fishing, Not-in-family, Male,0,0,20, United-States,Yes
 State-gov,293364,10, Never-married, Protective-serv, Own-child, Female,0,0,40, United-States,Yes
 Self-emp-not-inc,241895,13, Never-married, Sales, Not-in-family, Male,0,0,42, United-States,Yes
 ?,36135,7, Married-civ-spouse, ?, Husband, Male,0,0,8, United-States,Yes
 ?,151989,11, Divorced, ?, Unmarried, Female,0,0,40, United-States,Yes
 Private,101128,12, Married-spouse-absent, Other-service, Not-in-family, Male,0,0,25, Iran,Yes
 Private,156464,13, Never-married, Prof-specialty, Own-child, Male,0,0,25, United-States,Yes
 Private,117963,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,192262,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,Yes
 Private,111363,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Local-gov,329752,7, Married-civ-spouse, Transport-moving, Husband, Male,0,0,30, United-States,Yes
 ?,372020,13, Married-civ-spouse, ?, Husband, Male,0,0,40, United-States,No
 Federal-gov,95432,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,No
 Private,161400,7, Widowed, Other-service, Unmarried, Male,0,0,40, United-States,Yes
 Private,96129,11, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,No
 Private,111949,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,35, United-States,Yes
 Self-emp-not-inc,117125,5, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, Portugal,Yes
 Private,348022,6, Married-civ-spouse, Other-service, Wife, Female,0,0,24, United-States,Yes
 Private,270092,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Private,180609,13, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,Yes
 Private,174575,13, Divorced, Exec-managerial, Not-in-family, Male,0,1564,45, United-States,No
 Private,410439,9, Married-spouse-absent, Sales, Not-in-family, Male,0,0,55, United-States,Yes
 Private,92262,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,183081,10, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States,Yes
 Private,362589,12, Never-married, Sales, Not-in-family, Female,0,0,15, United-States,Yes
 Private,212448,13, Divorced, Exec-managerial, Not-in-family, Female,0,0,45, United-States,No
 Private,481060,9, Divorced, Sales, Unmarried, Female,0,0,40, United-States,Yes
 Federal-gov,185885,10, Never-married, Adm-clerical, Unmarried, Female,0,0,15, United-States,Yes
 Private,89821,7, Never-married, Other-service, Own-child, Male,0,0,10, United-States,Yes
 State-gov,184018,11, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,38, United-States,No
 Private,256649,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Private,160323,9, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Local-gov,350845,10, Never-married, Adm-clerical, Own-child, Female,0,0,10, United-States,Yes
 Private,267404,9, Married-civ-spouse, Craft-repair, Wife, Female,0,0,40, United-States,Yes
 Private,35633,10, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,80914,14, Divorced, Exec-managerial, Not-in-family, Male,0,0,30, United-States,Yes
 Private,172927,9, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,Yes
 Private,174319,9, Divorced, Transport-moving, Not-in-family, Male,0,0,40, United-States,Yes
 Private,214955,3, Divorced, Craft-repair, Not-in-family, Female,0,2339,45, United-States,Yes
 Private,344991,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,108699,10, Divorced, Sales, Not-in-family, Female,0,0,40, United-States,Yes
 Local-gov,117312,10, Married-civ-spouse, Transport-moving, Wife, Female,0,0,40, United-States,Yes
 Private,396099,9, Never-married, Other-service, Not-in-family, Female,0,0,25, United-States,Yes
 Private,134152,9, Separated, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 Private,162028,10, Married-civ-spouse, Adm-clerical, Wife, Female,0,2415,6, United-States,No
 Private,25429,10, Never-married, Adm-clerical, Own-child, Female,0,0,16, United-States,Yes
 Private,232392,9, Never-married, Other-service, Other-relative, Female,0,0,40, United-States,Yes
 Private,220098,9, Married-civ-spouse, Other-service, Wife, Female,0,0,40, United-States,No
 Private,301302,13, Never-married, Craft-repair, Not-in-family, Male,0,0,50, United-States,Yes
 Self-emp-not-inc,277946,12, Separated, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 State-gov,98101,13, Married-civ-spouse, Exec-managerial, Husband, Male,7688,0,45, ?,No
 Private,196164,9, Never-married, Other-service, Not-in-family, Female,0,0,35, United-States,Yes
 Private,115562,10, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,Yes
 Private,96975,10, Divorced, Handlers-cleaners, Unmarried, Female,0,0,40, United-States,Yes
 ?,137300,9, Never-married, ?, Other-relative, Female,0,0,35, United-States,Yes
 Private,86872,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,55, United-States,No
 Self-emp-inc,132178,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,No
 Private,416103,10, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, United-States,Yes
 Private,108574,10, Never-married, Other-service, Not-in-family, Female,0,0,40, United-States,Yes
 State-gov,288353,13, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,No
 Private,227689,11, Divorced, Tech-support, Not-in-family, Female,0,0,64, United-States,Yes
 Private,166481,4, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,2179,40, Puerto-Rico,Yes
 Private,445382,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,1977,65, United-States,No
 Private,110145,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,317253,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,25, United-States,Yes
 ?,123147,10, Married-civ-spouse, ?, Wife, Female,0,1887,40, United-States,No
 Private,364657,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,Yes
 Local-gov,42346,10, Divorced, Other-service, Not-in-family, Female,0,0,24, United-States,Yes
 Private,241951,9, Never-married, Handlers-cleaners, Unmarried, Female,0,0,40, United-States,Yes
 Private,118500,10, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,Yes
 Private,188386,16, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,60, United-States,No
 State-gov,1033222,10, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Private,92440,8, Divorced, Craft-repair, Not-in-family, Male,0,0,50, United-States,No
 Private,190762,2, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, Mexico,Yes
 Private,426017,7, Never-married, Other-service, Own-child, Female,0,0,19, United-States,Yes
 Local-gov,243867,7, Separated, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 State-gov,240283,9, Divorced, Transport-moving, Unmarried, Female,0,0,40, United-States,Yes
 Private,61777,10, Married-civ-spouse, Sales, Husband, Male,0,0,30, United-States,Yes
 Private,175024,7, Never-married, Handlers-cleaners, Own-child, Male,2176,0,18, United-States,Yes
 State-gov,92003,13, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,40, United-States,No
 Private,188401,9, Divorced, Farming-fishing, Not-in-family, Male,0,0,40, United-States,Yes
 Private,228528,6, Never-married, Craft-repair, Unmarried, Female,0,0,35, United-States,Yes
 Private,133373,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,Yes
 Federal-gov,255191,14, Never-married, Prof-specialty, Not-in-family, Male,0,1408,40, United-States,Yes
 Private,204653,9, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,72, Dominican-Republic,Yes
 Self-emp-inc,222289,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Local-gov,287480,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 ?,107762,9, Widowed, ?, Not-in-family, Male,0,0,24, United-States,Yes
 ?,202521,7, Never-married, ?, Own-child, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,204116,13, Married-spouse-absent, Prof-specialty, Not-in-family, Female,2174,0,40, United-States,Yes
 Private,29662,12, Married-civ-spouse, Other-service, Wife, Female,0,0,25, United-States,No
 Private,116358,10, Never-married, Craft-repair, Own-child, Male,0,1980,40, Philippines,Yes
 Private,208405,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,No
 Local-gov,284843,9, Never-married, Farming-fishing, Not-in-family, Male,594,0,60, United-States,Yes
 Local-gov,117018,10, Never-married, Protective-serv, Not-in-family, Female,0,0,40, United-States,Yes
 Private,81281,10, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,Yes
 Local-gov,340148,10, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,Yes
 Private,363425,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States,Yes
 Private,45857,9, Divorced, Adm-clerical, Not-in-family, Female,0,0,28, United-States,Yes
 Federal-gov,191073,9, Never-married, Armed-Forces, Own-child, Male,0,0,40, United-States,Yes
 Private,116632,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Private,405855,5, Never-married, Craft-repair, Other-relative, Male,0,0,40, Mexico,Yes
 Private,298227,10, Never-married, Sales, Not-in-family, Male,0,0,35, United-States,Yes
 Private,290521,9, Widowed, Exec-managerial, Unmarried, Female,0,0,40, United-States,Yes
 Private,56915,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,146538,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 ?,258872,7, Never-married, ?, Own-child, Female,0,0,5, United-States,Yes
 Private,206399,9, Never-married, Machine-op-inspct, Own-child, Female,0,0,40, United-States,Yes
 Self-emp-inc,197332,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,55, United-States,No
 Private,245062,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 Private,197583,12, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, ?,No
 Self-emp-not-inc,234885,9, Married-civ-spouse, Sales, Wife, Female,0,0,40, United-States,No
 Private,72887,11, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,No
 Private,180374,9, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,40, United-States,Yes
 Private,351299,10, Married-civ-spouse, Transport-moving, Husband, Male,0,0,50, United-States,Yes
 Private,54012,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,Yes
 ?,115745,10, Married-civ-spouse, ?, Husband, Male,0,0,40, United-States,Yes
 Private,116632,12, Never-married, Farming-fishing, Own-child, Male,0,0,40, United-States,Yes
 Local-gov,288825,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,132601,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,Yes
 Private,193374,2, Married-spouse-absent, Craft-repair, Unmarried, Male,0,0,40, United-States,Yes
 Private,170070,13, Never-married, Tech-support, Not-in-family, Female,0,0,20, United-States,Yes
 Private,126708,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,60, United-States,Yes
 Private,35598,9, Divorced, Transport-moving, Unmarried, Male,0,0,40, United-States,Yes
 Private,33983,10, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,192776,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,1977,45, United-States,No
 Private,118551,13, Married-civ-spouse, Tech-support, Wife, Female,0,0,16, United-States,No
 Private,201965,10, Never-married, Prof-specialty, Unmarried, Male,0,0,40, United-States,No
 ?,139883,10, Never-married, ?, Own-child, Male,0,0,40, United-States,Yes
 Private,285020,9, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Private,303990,9, Never-married, Transport-moving, Not-in-family, Male,0,0,60, United-States,Yes
 Private,49401,11, Divorced, Other-service, Not-in-family, Female,0,0,24, United-States,Yes
 Private,279196,13, Never-married, Craft-repair, Not-in-family, Female,0,0,40, United-States,Yes
 Private,211870,5, Never-married, Other-service, Not-in-family, Male,0,0,6, United-States,Yes
 Private,281432,10, Never-married, Handlers-cleaners, Own-child, Male,0,0,30, United-States,Yes
 Private,161155,6, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States,Yes
 Private,197904,9, Never-married, Other-service, Unmarried, Female,0,0,35, United-States,Yes
 Private,111746,12, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, Portugal,Yes
 Self-emp-not-inc,170721,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,20, United-States,Yes
 State-gov,70100,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,20, United-States,Yes
 Private,193626,9, Married-spouse-absent, Craft-repair, Unmarried, Female,0,0,40, United-States,Yes
 ?,271749,8, Never-married, ?, Other-relative, Male,594,0,40, United-States,Yes
 Private,189775,10, Married-spouse-absent, Adm-clerical, Own-child, Female,0,0,20, United-States,Yes
 ?,401531,2, Married-civ-spouse, ?, Husband, Male,0,0,35, United-States,Yes
 Local-gov,286967,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,Yes
 Local-gov,164427,13, Divorced, Prof-specialty, Unmarried, Female,0,0,40, United-States,Yes
 Private,91039,13, Married-civ-spouse, Sales, Husband, Male,15024,0,60, United-States,No
 Private,347934,9, Never-married, Other-service, Not-in-family, Female,0,0,35, United-States,Yes
 Federal-gov,371373,9, Divorced, Adm-clerical, Not-in-family, Male,0,0,40, United-States,Yes
 Private,32220,12, Never-married, Exec-managerial, Not-in-family, Female,0,0,60, United-States,Yes
 Private,187251,9, Divorced, Prof-specialty, Unmarried, Female,0,0,25, United-States,Yes
 Private,178107,13, Never-married, Craft-repair, Own-child, Male,0,0,20, United-States,Yes
 Private,343121,9, Divorced, Adm-clerical, Unmarried, Female,0,0,36, United-States,Yes
 Private,262749,10, Never-married, Machine-op-inspct, Own-child, Male,0,0,40, United-States,Yes
 Private,403107,3, Never-married, Other-service, Own-child, Male,0,0,40, El-Salvador,Yes
 Private,64293,10, Never-married, Prof-specialty, Not-in-family, Female,0,0,35, United-States,Yes
 ?,303588,9, Married-civ-spouse, ?, Husband, Male,0,0,20, United-States,Yes
 Local-gov,324960,9, Never-married, Farming-fishing, Not-in-family, Male,0,0,40, Poland,Yes
 Local-gov,114060,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,48925,10, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,Yes
 Private,180980,10, Divorced, Other-service, Unmarried, Female,0,0,42, France,Yes
 Private,181054,13, Never-married, Sales, Not-in-family, Female,0,0,40, United-States,Yes
 Private,388093,13, Never-married, Exec-managerial, Not-in-family, Male,0,0,40, United-States,Yes
 Private,249609,10, Never-married, Protective-serv, Own-child, Male,0,0,8, United-States,Yes
 Private,112131,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,Yes
 Local-gov,543162,9, Separated, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,91996,9, Divorced, Other-service, Unmarried, Female,0,0,40, United-States,Yes
 Private,141944,11, Married-spouse-absent, Handlers-cleaners, Unmarried, Male,0,1380,42, United-States,Yes
 ?,251804,3, Widowed, ?, Unmarried, Female,0,0,30, United-States,Yes
 Private,37070,11, Never-married, Craft-repair, Not-in-family, Male,0,0,45, United-States,Yes
 Private,337587,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,No
 Private,189346,9, Divorced, Craft-repair, Not-in-family, Male,0,0,45, United-States,Yes
 ?,222216,11, Widowed, ?, Unmarried, Female,0,0,38, United-States,Yes
 Private,267044,10, Never-married, Adm-clerical, Not-in-family, Female,0,0,20, United-States,Yes
 ?,214635,10, Never-married, ?, Own-child, Male,0,0,24, United-States,Yes
 ?,204226,10, Never-married, ?, Unmarried, Female,0,0,35, United-States,Yes
 Private,108116,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,No
 Self-emp-inc,99146,13, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,80, United-States,No
 Private,196232,9, Married-civ-spouse, Exec-managerial, Husband, Male,7688,0,50, United-States,No
 Local-gov,248344,10, Divorced, Handlers-cleaners, Not-in-family, Male,0,0,50, United-States,Yes
 Local-gov,186035,10, Married-civ-spouse, Tech-support, Husband, Male,0,0,45, United-States,No
 Private,177905,10, Divorced, Machine-op-inspct, Unmarried, Male,0,0,58, United-States,No
 Private,85812,10, Married-civ-spouse, Sales, Wife, Female,0,0,40, United-States,Yes
 Private,221172,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,99183,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,9, United-States,Yes
 Self-emp-not-inc,190387,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,50, United-States,Yes
 Self-emp-not-inc,202692,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,109339,7, Divorced, Machine-op-inspct, Unmarried, Female,0,0,46, Puerto-Rico,Yes
 Private,108658,9, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 Private,197202,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,Yes
 Private,101739,12, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,50, United-States,No
 Private,231559,15, Married-civ-spouse, Prof-specialty, Husband, Male,20051,0,48, United-States,No
 Local-gov,207853,8, Married-civ-spouse, Tech-support, Husband, Male,0,0,50, United-States,Yes
 Private,190942,2, Widowed, Priv-house-serv, Not-in-family, Female,0,0,30, United-States,Yes
 Private,102345,11, Separated, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Self-emp-inc,41493,13, Never-married, Farming-fishing, Not-in-family, Female,0,0,45, United-States,Yes
 ?,190027,9, Never-married, ?, Unmarried, Female,0,0,40, United-States,Yes
 Private,210525,10, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,133937,16, Never-married, Prof-specialty, Own-child, Male,0,0,40, United-States,Yes
 Private,237903,10, Never-married, Handlers-cleaners, Unmarried, Female,0,0,40, United-States,Yes
 Private,163862,9, Never-married, Transport-moving, Not-in-family, Male,0,0,40, United-States,Yes
 Private,201872,10, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,Yes
 Private,84179,9, Never-married, Handlers-cleaners, Not-in-family, Female,0,0,45, United-States,Yes
 Private,51662,6, Married-civ-spouse, Other-service, Wife, Female,0,0,8, United-States,Yes
 Local-gov,233327,10, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,Yes
 Private,259510,9, Never-married, Handlers-cleaners, Own-child, Male,0,0,36, United-States,Yes
 Private,184831,10, Never-married, Craft-repair, Unmarried, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,245724,10, Divorced, Exec-managerial, Not-in-family, Male,0,0,50, United-States,Yes
 Self-emp-not-inc,27053,9, Separated, Other-service, Unmarried, Female,0,0,40, United-States,Yes
 Private,205343,7, Widowed, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,229328,9, Married-civ-spouse, Machine-op-inspct, Wife, Female,0,0,40, United-States,Yes
 Federal-gov,319560,11, Divorced, Craft-repair, Unmarried, Female,0,0,40, United-States,No
 Private,136218,7, Never-married, Machine-op-inspct, Not-in-family, Female,0,0,40, United-States,Yes
 Private,54576,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Private,323069,9, Separated, Adm-clerical, Unmarried, Female,0,0,20, ?,Yes
 Private,148291,9, Married-civ-spouse, Tech-support, Wife, Female,0,0,32, United-States,Yes
 Private,152453,7, Married-civ-spouse, Other-service, Husband, Male,0,0,40, Mexico,Yes
 Private,114053,13, Never-married, Transport-moving, Not-in-family, Male,0,0,55, United-States,Yes
 Private,212960,13, Married-civ-spouse, Sales, Husband, Male,0,0,35, United-States,No
 Private,264052,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,No
 Private,82804,9, Never-married, Handlers-cleaners, Unmarried, Female,0,0,40, United-States,Yes
 Self-emp-not-inc,334273,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,60, United-States,No
 Private,27337,9, Never-married, Handlers-cleaners, Own-child, Male,0,0,48, United-States,Yes
 Self-emp-inc,188436,14, Married-civ-spouse, Exec-managerial, Husband, Male,5013,0,45, United-States,Yes
 Private,433665,4, Separated, Other-service, Unmarried, Female,0,0,40, Mexico,Yes
 Self-emp-not-inc,110663,9, Separated, Craft-repair, Not-in-family, Male,0,0,35, United-States,Yes
 Private,87490,14, Divorced, Exec-managerial, Unmarried, Male,0,0,42, United-States,Yes
 Private,354351,9, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States,Yes
 Private,95469,9, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,242718,7, Never-married, Sales, Own-child, Male,0,0,12, United-States,Yes
 Private,22463,11, Married-civ-spouse, Craft-repair, Husband, Male,0,1977,40, United-States,No
 Private,158156,16, Never-married, Prof-specialty, Not-in-family, Female,0,0,70, United-States,Yes
 Private,350162,13, Married-civ-spouse, Exec-managerial, Wife, Male,0,0,40, United-States,No
 ?,165532,8, Never-married, ?, Own-child, Male,0,0,25, United-States,Yes
 Self-emp-not-inc,28738,12, Divorced, Sales, Unmarried, Female,0,0,35, United-States,Yes
 Local-gov,283635,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,40, United-States,Yes
 Self-emp-not-inc,86646,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,Yes
 ?,195733,10, Married-civ-spouse, ?, Husband, Male,0,0,30, United-States,No
 Private,69884,9, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States,No
 Private,199713,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,181659,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,340939,13, Never-married, Tech-support, Not-in-family, Male,0,0,40, United-States,Yes
 Private,197747,10, Never-married, Sales, Own-child, Female,0,0,24, United-States,Yes
 Private,34292,10, Never-married, Adm-clerical, Not-in-family, Male,0,0,60, United-States,Yes
 Private,156764,7, Never-married, Other-service, Own-child, Male,0,0,40, United-States,Yes
 Private,25826,6, Married-civ-spouse, Craft-repair, Husband, Male,0,1887,47, United-States,No
 Self-emp-inc,103948,13, Divorced, Prof-specialty, Not-in-family, Male,0,0,80, United-States,Yes
 ?,137390,9, Married-civ-spouse, ?, Husband, Male,0,0,40, United-States,Yes
 ?,105138,9, Married-civ-spouse, ?, Wife, Female,0,0,40, United-States,Yes
 Private,39352,4, Never-married, Transport-moving, Not-in-family, Male,0,0,48, United-States,No
 Private,168387,13, Married-civ-spouse, Prof-specialty, Husband, Male,7688,0,40, Canada,No
 Private,117789,13, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States,Yes
 Private,267147,9, Never-married, Sales, Own-child, Male,0,0,40, United-States,Yes
 ?,99399,10, Never-married, ?, Unmarried, Female,0,0,25, United-States,Yes
 Self-emp-not-inc,214242,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,1902,50, United-States,No
 Private,200408,10, Never-married, Tech-support, Not-in-family, Male,2174,0,40, United-States,Yes
 Private,136455,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,45, United-States,Yes
 Private,239824,13, Never-married, Tech-support, Not-in-family, Male,0,0,40, United-States,Yes
 Private,217039,10, Never-married, Adm-clerical, Own-child, Male,0,0,28, United-States,Yes
